,MAKE,X,Y,PLAYER,ROSTERON,ROSTERONVS,TEAM,TEAMVS,CODE,CODEVS,MDATE,MTIME,MLOC,SEASON,XHOOP,YHOOP,R,ANGLE,ZONE
0,0,8.26560012817392,12.2625,Niven Antone Glover,"Abraham Damar Grahita, Jalen Leonard Jones, Julian Alexandre Chalias, Niven Antone Glover, Widyanta Putra Teja","Dio Tirta Saputra, Donell Cooper II, Joshua Bryan Ibarra, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,8.2125231400052,0.952181744303606,4.3
1,0,2.36880001068116,6.49950027465825,Widyanta Putra Teja,"Abraham Damar Grahita, Jalen Leonard Jones, Julian Alexandre Chalias, Niven Antone Glover, Widyanta Putra Teja","Dio Tirta Saputra, Donell Cooper II, Joshua Bryan Ibarra, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,1.2771523626280175,2.4708869137122456,1.0
2,0,1.974000053405772,14.4660003662109,Widyanta Putra Teja,"Abraham Damar Grahita, Jalen Leonard Jones, Julian Alexandre Chalias, Niven Antone Glover, Widyanta Putra Teja","Dio Tirta Saputra, Donell Cooper II, Joshua Bryan Ibarra, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,6.9774180141846305,0.057215696778796205,4.1
3,1,2.8476000213623203,14.33849945068365,Abraham Damar Grahita,"Abraham Damar Grahita, Jalen Leonard Jones, Julian Alexandre Chalias, Niven Antone Glover, Widyanta Putra Teja","Dio Tirta Saputra, Donell Cooper II, Joshua Bryan Ibarra, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,6.955902928547232,0.18398883348320447,4.1
4,0,8.702399978637681,6.2879997253417494,Abraham Damar Grahita,"Abraham Damar Grahita, Jalen Leonard Jones, Julian Alexandre Chalias, Niven Antone Glover, Widyanta Putra Teja","Dio Tirta Saputra, Donell Cooper II, Joshua Bryan Ibarra, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,7.22971473304833,1.7392331575755937,4.3
5,1,8.570800170898561,5.356499862670949,Jalen Leonard Jones,"Abraham Damar Grahita, Jalen Leonard Jones, Julian Alexandre Chalias, Niven Antone Glover, Widyanta Putra Teja","Dio Tirta Saputra, Donell Cooper II, Joshua Bryan Ibarra, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,7.316817126994087,1.8681125860562457,4.3
6,1,5.33679985046376,1.372499942779545,Abraham Damar Grahita,"Abraham Damar Grahita, Jalen Leonard Jones, Julian Alexandre Chalias, Niven Antone Glover, Widyanta Putra Teja","Dio Tirta Saputra, Donell Cooper II, Joshua Bryan Ibarra, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,7.190090059671426,2.5910000887355142,4.4
7,0,2.192399978637708,8.110499954223599,Niven Antone Glover,"Abraham Damar Grahita, Jalen Leonard Jones, Julian Alexandre Chalias, Niven Antone Glover, Widyanta Putra Teja","Dio Tirta Saputra, Donell Cooper II, Joshua Bryan Ibarra, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,0.8682700776422384,0.7910174745503596,1.0
8,0,2.4556001281738364,7.68600025177005,Abraham Damar Grahita,"Abraham Damar Grahita, Jalen Leonard Jones, Julian Alexandre Chalias, Niven Antone Glover, Widyanta Putra Teja","Arki Dikania Wisnu, Dio Tirta Saputra, Donell Cooper II, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,0.9000292658565605,1.3626360659487997,1.0
9,0,8.789199829101442,7.77150020599365,Jalen Leonard Jones,"Jalen Leonard Jones, M. Sandy Ibrahim Aziz, Niven Antone Glover, Pandu Wiguna, Yudha Saputera","Arki Dikania Wisnu, Dio Tirta Saputra, Donell Cooper II, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,7.219306859807378,1.5331799391965861,4.3
10,0,5.208000106811601,13.7459999084472,Yudha Saputera,"Jalen Leonard Jones, M. Sandy Ibrahim Aziz, Niven Antone Glover, Pandu Wiguna, Yudha Saputera","Arki Dikania Wisnu, Dio Tirta Saputra, Donell Cooper II, Radithyo Wibowo, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,7.225732117399283,0.5268192756215677,4.2
11,1,1.363599967956548,14.381999588012699,Niven Antone Glover,"Dame Diagne, M. Sandy Ibrahim Aziz, Niven Antone Glover, Pandu Wiguna, Yudha Saputera","Arki Dikania Wisnu, Dio Tirta Saputra, Donell Cooper II, Hardianus Hardianus, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,6.885245696629491,0.03070816492978732,4.1
12,1,3.8976000213623205,9.25349979400635,Yudha Saputera,"Dame Diagne, M. Sandy Ibrahim Aziz, Niven Antone Glover, Pandu Wiguna, Yudha Saputera","Arki Dikania Wisnu, Dio Tirta Saputra, Donell Cooper II, Hardianus Hardianus, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,2.910194561676687,0.9241202282489868,2.2
13,0,8.612800064086962,5.9489999771118,Abraham Damar Grahita,"Abraham Damar Grahita, Dame Diagne, M. Sandy Ibrahim Aziz, Pandu Wiguna, Yudha Saputera","Arki Dikania Wisnu, Donell Cooper II, Hardianus Hardianus, Rio Disi, Troy Akeem Gillenwater",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,7.206679596947656,1.7877103668801952,4.3
14,1,8.26560012817392,11.7540000915528,Abraham Damar Grahita,"Abraham Damar Grahita, Dame Diagne, Jalen Leonard Jones, Pandu Wiguna, Yudha Saputera","Arki Dikania Wisnu, Donell Cooper II, Hardianus Hardianus, Joshua Bryan Ibarra, Rio Disi",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,7.928470650387255,1.0044559851394732,4.3
15,0,1.974000053405772,8.110499954223599,Dame Diagne,"Abraham Damar Grahita, Dame Diagne, Jalen Leonard Jones, Julian Alexandre Chalias, Yudha Saputera","Donell Cooper II, Hardianus Hardianus, Joshua Bryan Ibarra, Patrick Nikolas, Rio Disi",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,0.729322450446183,0.5788757421233782,1.0
16,1,1.6800000000000002,7.5,Jalen Leonard Jones,"Abraham Damar Grahita, Dame Diagne, Jalen Leonard Jones, Julian Alexandre Chalias, Yudha Saputera","Donell Cooper II, Hardianus Hardianus, Joshua Bryan Ibarra, Patrick Nikolas, Rio Disi",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,0.1050000000000002,1.5707963267948966,1.0
17,0,4.94479995727536,7.940999794006349,Yudha Saputera,"Abraham Damar Grahita, Dame Diagne, Jalen Leonard Jones, Julian Alexandre Chalias, Yudha Saputera","Donell Cooper II, Hardianus Hardianus, Joshua Bryan Ibarra, Patrick Nikolas, Rio Disi",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,3.398533885422751,1.4406676058147776,2.2
18,0,3.5476000213623204,8.110499954223599,Jalen Leonard Jones,"Abraham Damar Grahita, Dame Diagne, Jalen Leonard Jones, Julian Alexandre Chalias, Yudha Saputera","Donell Cooper II, Hardianus Hardianus, Joshua Bryan Ibarra, Patrick Nikolas, Rio Disi",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,2.0649118718205974,1.2706560220627363,2.2
19,0,1.8003999519348082,10.652999496459898,Abraham Damar Grahita,"Abraham Damar Grahita, Dame Diagne, Jalen Leonard Jones, Julian Alexandre Chalias, Yudha Saputera","Donell Cooper II, Hardianus Hardianus, Joshua Bryan Ibarra, Patrick Nikolas, Rio Disi",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,3.161045865375665,0.07136606256294614,2.1
20,0,1.6240000534057721,6.585000228881849,Julian Alexandre Chalias,"Abraham Damar Grahita, Dame Diagne, Jalen Leonard Jones, Julian Alexandre Chalias, Yudha Saputera","Donell Cooper II, Hardianus Hardianus, Joshua Bryan Ibarra, Patrick Nikolas, Rio Disi",Satria Muda Pertamina Bandung,Dewa United Banten,SMP,DUB,  3/5/26,7:00 pm ,Bandung Arena,2026,1.575,7.5,0.9163108568493754,3.088091773747763,1.0
