,MAKE,X,Y,PLAYER,ROSTERON,ROSTERONVS,TEAM,TEAMVS,CODE,CODEVS,MDATE,MTIME,MLOC,SEASON,XHOOP,YHOOP,R,ANGLE,ZONE
0,1,4.94479995727536,10.5674995422363,Agassi Yeshe Goantara,"Agassi Yeshe Goantara, Jeffree David Withey, Jerome Anthony Beane JR, Kevin Ornell Chapman MC Daniels, Muhamad Arighi","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,4.5568744983456515,0.8323244383655587,3.2
1,0,1.058399991989144,0.35549998283386497,Kevin Ornell Chapman MC Daniels,"Agassi Yeshe Goantara, Jeffree David Withey, Jerome Anthony Beane JR, Kevin Ornell Chapman MC Daniels, Muhamad Arighi","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,7.163152662310341,3.0694109057123407,4.5
2,0,1.6240000534057721,7.1354999542236,Jeffree David Withey,"Agassi Yeshe Goantara, Jeffree David Withey, Jerome Anthony Beane JR, Kevin Ornell Chapman MC Daniels, Muhamad Arighi","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,0.3677788582895518,3.0079629241225176,1.0
3,0,1.842399978637708,8.15249977111815,Jerome Anthony Beane JR,"Agassi Yeshe Goantara, Jeffree David Withey, Jerome Anthony Beane JR, Kevin Ornell Chapman MC Daniels, Muhamad Arighi","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,0.7051657251204743,0.3889333129535172,1.0
4,0,7.915600128173921,12.220500183105448,Kevin Ornell Chapman MC Daniels,"Agassi Yeshe Goantara, Jeffree David Withey, Jerome Anthony Beane JR, Kevin Ornell Chapman MC Daniels, Muhamad Arighi","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,7.904829660663013,0.9308322946903003,4.2
5,1,1.6240000534057721,7.643999862670949,Kevin Ornell Chapman MC Daniels,"Agassi Yeshe Goantara, Jeffree David Withey, Jerome Anthony Beane JR, Kevin Ornell Chapman MC Daniels, Muhamad Arighi","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,0.15210840109284124,0.3279881029872125,1.0
6,1,1.2320000267028721,0.525,Muhamad Arighi,"Agassi Yeshe Goantara, Jeffree David Withey, Jerome Anthony Beane JR, Kevin Ornell Chapman MC Daniels, Muhamad Arighi","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,6.9834285262814735,3.092456612280695,4.5
7,0,8.17600021362292,3.6614999771117995,Agassi Yeshe Goantara,"Agassi Yeshe Goantara, Jeffree David Withey, Jerome Anthony Beane JR, Kevin Ornell Chapman MC Daniels, Muhamad Arighi","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,7.63592078573125,2.0975038910173787,4.3
8,0,1.4952000427246122,7.1354999542236,Jerome Anthony Beane JR,"Jeffree David Withey, Jerome Anthony Beane JR, Kevin Ornell Chapman MC Daniels, Muhamad Arighi, Vincent Rivaldi Kosasih","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,0.373133108356993,2.926063279112805,1.0
9,1,3.0240000534058002,11.500499725341749,Jerome Anthony Beane JR,"Jaquori Curtis Mclaughlin, Jeffree David Withey, Jerome Anthony Beane JR, Vincent Rivaldi Kosasih, Yesaya Alessandro Saudale","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,4.254832453485028,0.34750601590579244,2.1
10,1,1.6688000106811602,8.15249977111815,Jeffree David Withey,"Jaquori Curtis Mclaughlin, Jeffree David Withey, Jerome Anthony Beane JR, Vincent Rivaldi Kosasih, Yesaya Alessandro Saudale","Hardianus Lakudu, Jordan Lavell Adams, Joshua Bryan Ibarra, Kaleb Ramot Gemilang, Lester Prosper",Pelita Jaya Basketball Jakarta,Dewa United Banten,PJB,DUB, 20/7/25,7:00 pm ,GMSB Kuningan,2025,1.575,7.5,0.6592073977990714,0.1427767027693418,1.0
